
[2] Neutron Bomb
  30.00% | -7300 ms | vs [56] Thirsty Thursday
  28.09% | -4700 ms | vs [28] Courageous!
  26.67% | -3800 ms | vs [12] Ion Blaster
  25.68% | -8200 ms | vs [53] MOAB 9S
  24.18% | -1200 ms | vs [1] Turn it Loose
  23.08% | -4700 ms | vs [20] Hot Hot Hot
  20.06% | -8300 ms | vs [2] Neutron Bomb
  20.02% | -8900 ms | vs [13] Saturday Night Special
  19.59% | -6000 ms | vs [22] Colorful Whirlwind
  18.72% | -9100 ms | vs [26] Color Storm
  18.18% | -6200 ms | vs [31] Naughty or Nice
  17.66% | 2600 ms | vs [15] Super Crackle Rainbow
  16.79% | 4300 ms | vs [47] Azurallure
  16.67% | -8200 ms | vs [58] Wild Horses
  15.96% | -3500 ms | vs [23] City Crasher
  15.52% | -8500 ms | vs [17] Deep Ocean
  13.64% | -2600 ms | vs [18] Hit the Road, Jack
  12.50% | -3000 ms | vs [24] Silver Screen
  8.33% | -6400 ms | vs [32] Evil Priest
  7.43% | -300 ms | vs [19] High Falutin
  6.61% | 2700 ms | vs [11] Fiesta 99
  5.68% | 0 ms | vs [51] 3 Minute Mayhem
  0.00% | 0 ms | vs [4] Be All & End All
  0.00% | 0 ms | vs [49] No Way!

[20] Hot Hot Hot
  44.92% | 2600 ms | vs [21] Peace Out
  38.46% | 1200 ms | vs [46] Azura Burst
  38.46% | 4000 ms | vs [52] Flourescent
  38.36% | 1600 ms | vs [30] Breakthrough
  37.27% | -2000 ms | vs [26] Color Storm
  35.71% | 800 ms | vs [12] Ion Blaster
  33.33% | 1500 ms | vs [22] Colorful Whirlwind
  33.33% | 600 ms | vs [58] Wild Horses
  30.77% | -1600 ms | vs [1] Turn it Loose
  30.77% | 8100 ms | vs [3] Occupy Mars
